,Temp_1_1,Temp_1_2,Temp_1_3,Temp_1_4,Temp_2_1,Temp_2_2,Temp_2_3,Temp_2_4,Temp_12_avg_open,Temp_12_avg_close,Temp_3_1,Temp_3_2,Temp_3_3,Temp_3_4,Temp_4_1,Temp_4_2,Temp_4_3,Temp_4_4,Temp_34_avg_open,Temp_34_avg_close
07/23/2019 10:39,26.063,27.062,26.063,26.875,26.937,27.25,26.437,27.062,26.5,26.9685,25.187,26.312,25.062,25.25,25.062,26.688,25.062,25.187,25.1245,25.2185
07/23/2019 10:49,26.125,27.125,26.063,26.937,26.875,27.313,26.25,26.688,26.5,26.8125,25.187,26.312,25.062,25.25,25.062,26.688,25.062,25.187,25.1245,25.2185
07/23/2019 10:50,26.125,27.125,26.063,26.937,26.875,27.313,26.25,26.688,26.5,26.8125,25.062,26.25,25.062,26.187,24.75,26.688,24.75,26.688,24.906,26.4375
07/23/2019 11:00,26.875,26.875,26.25,26.688,27.25,27.375,26.5,26.562,27.0625,26.625,26.125,26.312,25.125,25.25,26.063,26.5,24.625,26.187,26.094,25.7185
07/23/2019 11:10,26.937,27.0,25.937,26.5,27.25,27.313,26.625,27.125,27.0935,26.8125,26.187,26.25,25.625,25.812,26.0,26.688,25.312,25.812,26.0935,25.812
07/23/2019 11:20,26.125,27.5,26.125,27.437,27.125,27.875,26.875,27.875,26.625,27.656,26.125,27.25,26.125,27.125,26.5,27.875,26.5,26.812,26.3125,26.9685
07/23/2019 11:30,27.313,27.313,26.125,26.562,27.062,27.437,26.312,27.0,27.1875,26.781,26.187,26.187,25.0,25.0,26.562,26.562,24.75,25.25,26.3745,25.125
07/23/2019 11:40,26.75,26.812,26.25,26.375,27.062,27.187,26.125,26.562,26.906,26.4685,25.875,26.125,24.875,25.125,26.187,26.437,24.312,25.312,26.031,25.2185
07/23/2019 11:50,26.0,26.75,25.937,26.562,26.875,27.0,26.312,26.875,26.4375,26.7185,24.937,25.875,24.813,25.25,25.312,26.437,24.75,25.438,25.1245,25.344
07/23/2019 12:00,26.437,26.625,26.187,26.25,26.812,27.0,26.0,26.187,26.6245,26.2185,24.937,25.875,24.813,25.25,25.312,26.437,24.75,25.438,25.1245,25.344
07/23/2019 12:01,26.437,26.625,26.187,26.25,26.812,27.0,26.0,26.187,26.6245,26.2185,25.25,25.75,24.5,25.062,25.0,25.875,24.125,24.75,25.125,24.906
